trial_index,ratio,std_side,response,keypress,rt_sec,correct
1,0.9,right,0,j,0.8121,1
2,0.9,left,0,f,0.4258,1
3,0.9,left,0,f,0.4138,1
4,0.9,left,0,f,0.5938,1
5,0.9,left,0,f,0.3457,1
6,0.9,right,0,j,0.7216,1
7,0.9,left,0,f,0.5941,1
8,0.9,right,0,j,0.3449,1
9,0.9,right,0,j,0.6156,1
10,0.9,left,0,f,0.6619,1
11,0.9,right,0,j,0.8639,1
12,0.9,right,1,f,0.4647,0
13,0.95,left,1,j,0.6039,0
14,0.95,right,0,j,0.7154,1
15,0.95,right,0,j,0.4772,1
16,0.95,left,1,j,0.5166,0
17,0.95,right,0,j,0.647,1
18,0.95,right,1,f,0.5551,0
19,0.95,right,1,f,0.7198,0
20,0.95,left,0,f,0.6597,1
21,0.95,left,1,j,0.5598,0
22,0.95,right,1,f,0.6361,0
23,0.95,left,0,f,0.9493,1
24,0.95,left,1,j,0.7282,0
25,0.98,left,1,j,0.5812,0
26,0.98,right,1,f,0.4498,0
27,0.98,right,0,j,0.5161,1
28,0.98,right,0,j,0.5597,1
29,0.98,right,1,f,0.6923,0
30,0.98,left,0,f,0.8919,1
31,0.98,right,1,f,0.6397,0
32,0.98,left,1,j,0.7341,0
33,0.98,left,0,f,0.5329,1
34,0.98,right,0,j,1.0061,1
35,0.98,left,0,f,0.3575,1
36,0.98,right,0,j,0.9978,1
37,1.0,right,1,f,0.4359,1
38,1.0,left,1,j,0.3994,1
39,1.0,left,0,f,0.5085,1
40,1.0,right,1,f,0.6288,1
41,1.0,left,1,j,0.9085,1
42,1.0,left,0,f,0.3906,1
43,1.0,right,1,f,0.3683,1
44,1.0,right,1,f,0.5866,1
45,1.0,right,1,f,0.6321,1
46,1.0,left,0,f,0.5359,1
47,1.0,left,0,f,0.8081,1
48,1.0,right,0,j,0.7075,1
49,1.02,left,1,j,0.5124,1
50,1.02,left,1,j,0.5707,1
51,1.02,right,0,j,0.5099,0
52,1.02,right,1,f,1.0289,1
53,1.02,right,0,j,0.8536,0
54,1.02,right,1,f,0.5779,1
55,1.02,right,1,f,0.6138,1
56,1.02,right,1,f,0.765,1
57,1.02,left,0,f,0.4489,0
58,1.02,right,1,f,0.524,1
59,1.02,right,0,j,0.5661,0
60,1.02,left,0,f,0.5565,0
61,1.05,right,1,f,0.6849,1
62,1.05,left,0,f,0.6165,0
63,1.05,left,1,j,0.523,1
64,1.05,left,1,j,0.7403,1
65,1.05,left,1,j,0.6733,1
66,1.05,left,1,j,0.8397,1
67,1.05,right,1,f,0.6378,1
68,1.05,left,1,j,0.4211,1
69,1.05,left,1,j,0.4066,1
70,1.05,right,1,f,0.9214,1
71,1.05,right,1,f,0.6278,1
72,1.05,right,1,f,0.6191,1
73,1.1,right,1,f,1.2159,1
74,1.1,right,1,f,0.5102,1
75,1.1,left,1,j,0.5223,1
76,1.1,left,1,j,0.8828,1
77,1.1,right,1,f,0.5743,1
78,1.1,left,1,j,0.8649,1
79,1.1,right,1,f,0.4422,1
80,1.1,left,1,j,0.8014,1
81,1.1,right,1,f,0.7924,1
82,1.1,left,1,j,0.3805,1
83,1.1,left,1,j,0.3305,1
84,1.1,left,1,j,0.7813,1
