trial_index,ratio,std_side,response,keypress,rt_sec,correct
1,0.9,right,0,j,0.5952,1
2,0.9,right,0,j,0.5127,1
3,0.9,right,0,j,0.5648,1
4,0.9,right,0,j,0.6178,1
5,0.9,left,0,f,0.3758,1
6,0.9,right,0,j,0.4328,1
7,0.9,right,0,j,0.3399,1
8,0.9,left,0,f,0.3669,1
9,0.9,right,0,j,0.4371,1
10,0.9,left,0,f,0.4172,1
11,0.9,right,0,j,0.6004,1
12,0.9,left,0,f,0.4431,1
13,0.95,left,0,f,0.7665,1
14,0.95,right,1,f,0.4657,0
15,0.95,left,0,f,0.5537,1
16,0.95,left,0,f,0.8539,1
17,0.95,right,0,j,0.5699,1
18,0.95,left,0,f,0.7264,1
19,0.95,right,0,j,0.4353,1
20,0.95,right,0,j,0.775,1
21,0.95,right,0,j,0.6099,1
22,0.95,right,0,j,0.3671,1
23,0.95,right,0,j,0.3407,1
24,0.95,right,1,f,0.5579,0
25,0.98,left,0,f,0.7559,1
26,0.98,left,0,f,0.6369,1
27,0.98,right,0,j,0.7042,1
28,0.98,left,0,f,0.4427,1
29,0.98,left,0,f,0.6543,1
30,0.98,right,1,f,1.0688,0
31,0.98,left,0,f,0.3662,1
32,0.98,right,0,j,0.6705,1
33,0.98,left,0,f,0.5143,1
34,0.98,right,0,j,0.8174,1
35,0.98,left,0,f,0.8916,1
36,0.98,right,0,j,0.6201,1
37,1.0,right,0,j,0.8107,1
38,1.0,right,1,f,0.6322,1
39,1.0,left,1,j,0.4834,1
40,1.0,left,0,f,0.7515,1
41,1.0,left,0,f,0.9259,1
42,1.0,right,0,j,0.3984,1
43,1.0,right,1,f,0.6442,1
44,1.0,left,1,j,0.5786,1
45,1.0,right,1,f,0.4717,1
46,1.0,left,1,j,0.6438,1
47,1.0,right,0,j,0.4813,1
48,1.0,right,1,f,0.4353,1
49,1.02,right,0,j,0.5758,0
50,1.02,right,1,f,0.6816,1
51,1.02,left,0,f,0.9264,0
52,1.02,right,1,f,0.5994,1
53,1.02,right,1,f,0.5202,1
54,1.02,right,0,j,0.766,0
55,1.02,left,0,f,0.6184,0
56,1.02,right,1,f,0.4905,1
57,1.02,left,1,j,0.9205,1
58,1.02,left,0,f,0.5405,0
59,1.02,right,0,j,0.5158,0
60,1.02,right,1,f,0.6689,1
61,1.05,right,1,f,0.4055,1
62,1.05,right,1,f,0.3466,1
63,1.05,right,1,f,0.4354,1
64,1.05,right,1,f,0.5796,1
65,1.05,left,1,j,0.8593,1
66,1.05,left,1,j,0.7782,1
67,1.05,left,1,j,0.3092,1
68,1.05,right,1,f,0.4544,1
69,1.05,left,1,j,0.5529,1
70,1.05,right,0,j,0.6315,0
71,1.05,right,1,f,0.5426,1
72,1.05,right,1,f,0.9903,1
73,1.1,right,1,f,0.4872,1
74,1.1,left,1,j,0.5175,1
75,1.1,right,1,f,1.0191,1
76,1.1,left,1,j,0.4537,1
77,1.1,right,1,f,0.704,1
78,1.1,right,1,f,0.5218,1
79,1.1,right,1,f,0.4367,1
80,1.1,right,1,f,0.5101,1
81,1.1,left,1,j,0.6678,1
82,1.1,right,1,f,0.4809,1
83,1.1,right,1,f,0.4411,1
84,1.1,right,1,f,0.5437,1
